activity,category,day,start_time,end_time,priority,notes
Taekwondo,Health,Monday,19:00,20:00,3,Regular class
Speech and Debate Office Hours,Academic,Monday,17:00,18:00,2,Zoom help session
Homework Block,Academic,Monday,20:30,21:30,3,School homework
Scouts,Leadership,Tuesday,19:00,20:30,3,Troop meeting
Homework Block,Academic,Tuesday,17:00,18:00,3,School homework
Art Class,Creative,Wednesday,17:30,19:00,2,Weekly class
Homework Block,Academic,Wednesday,19:30,20:30,3,School homework
Taekwondo,Health,Thursday,19:00,20:00,3,Regular class
Speech and Debate Office Hours,Academic,Thursday,17:00,18:00,2,Zoom help session
Homework Block,Academic,Thursday,20:15,21:15,3,School homework
Student Ambassador Work,Leadership,Friday,16:30,17:00,2,PR and email communication
English Class,Academic,Friday,18:00,20:00,3,Weekly class
Homework Block,Academic,Friday,20:15,21:15,3,School homework
Speech and Debate Class,Academic,Saturday,11:00,13:00,3,Weekly class
Digital Art Practice,Creative,Saturday,15:00,16:00,1,Practice on lighter homework days
Manabadi Telugu School,Academic,Sunday,09:30,13:00,3,Weekly class
Merit Badge Meeting,Leadership,Sunday,18:00,18:30,2,With mentor when needed
Tournament,Health,Friday,08:00,13:30,3,Competition
